"","Season","School"
"6265","2004-2005","Ohio"
"6266","2004-2005","Ohio State"
"6267","2004-2005","Oklahoma"
"6268","2004-2005","Oklahoma State"
"6269","2004-2005","Old Dominion"
"6270","2004-2005","Oral Roberts"
"6271","2004-2005","Oregon"
"6272","2004-2005","Oregon State"
"6273","2004-2005","Pacific"
"6274","2004-2005","Penn State"
"6275","2004-2005","Pennsylvania"
"6276","2004-2005","Pepperdine"
"6277","2004-2005","Pittsburgh"
"6278","2004-2005","Portland"
"6279","2004-2005","Portland State"
"6280","2004-2005","Prairie View"
"6281","2004-2005","Princeton"
"6282","2004-2005","Providence"
"6283","2004-2005","Purdue"
"6284","2004-2005","Quinnipiac"
"6285","2004-2005","Radford"
"6286","2004-2005","Rhode Island"
"6287","2004-2005","Rice"
"6288","2004-2005","Richmond"
"6289","2004-2005","Rider"
"6290","2004-2005","Robert Morris"
"6291","2004-2005","Rutgers"
"6292","2004-2005","Sacramento State"
"6293","2004-2005","Sacred Heart"
"6294","2004-2005","Saint Francis (PA)"
"6295","2004-2005","Saint Joseph's"
"6296","2004-2005","Saint Louis"
"6297","2004-2005","Saint Mary's (CA)"
"6298","2004-2005","Saint Peter's"
"6299","2004-2005","Sam Houston State"
"6300","2004-2005","Samford"
"6301","2004-2005","San Diego"
"6302","2004-2005","San Diego State"
"6303","2004-2005","San Francisco"
"6304","2004-2005","San Jose State"
"6305","2004-2005","Santa Clara"
"6306","2004-2005","Savannah State"
"6307","2004-2005","Seton Hall"
"6308","2004-2005","Siena"
"6309","2004-2005","South Alabama"
"6310","2004-2005","South Carolina"
"6311","2004-2005","South Carolina State"
"6312","2004-2005","South Florida"
"6313","2004-2005","Southeast Missouri State"
"6314","2004-2005","Southeastern Louisiana"
"6315","2004-2005","Southern"
"6316","2004-2005","Southern California"
"6317","2004-2005","Southern Illinois"
"6318","2004-2005","Southern Methodist"
"6319","2004-2005","Southern Mississippi"
"6320","2004-2005","Southern Utah"
"6321","2004-2005","St. Bonaventure"
"6322","2004-2005","St. Francis (NY)"
"6323","2004-2005","St. John's (NY)"
"6324","2004-2005","Stanford"
"6325","2004-2005","Stephen F. Austin"
"6326","2004-2005","Stetson"
"6327","2004-2005","Stony Brook"
"6328","2004-2005","Syracuse"
"6329","2004-2005","Temple"
"6330","2004-2005","Tennessee"
"6331","2004-2005","Tennessee-Martin"
"6332","2004-2005","Tennessee State"
"6333","2004-2005","Tennessee Tech"
"6334","2004-2005","Texas"
"6335","2004-2005","Texas-Arlington"
"6336","2004-2005","Texas-El Paso"
"6337","2004-2005","Texas-Rio Grande Valley"
"6338","2004-2005","Texas-San Antonio"
"6339","2004-2005","Texas A&M"
"6340","2004-2005","Texas A&M-Corpus Christi"
"6341","2004-2005","Texas Christian"
"6342","2004-2005","Texas Southern"
"6343","2004-2005","Texas State"
"6344","2004-2005","Texas Tech"
"6345","2004-2005","Toledo"
"6346","2004-2005","Towson"
"6347","2004-2005","Troy"
"6348","2004-2005","Tulane"
"6349","2004-2005","Tulsa"
"6350","2004-2005","UC-Irvine"
"6351","2004-2005","UC-Riverside"
"6352","2004-2005","UC-Santa Barbara"
"6353","2004-2005","UCLA"
"6354","2004-2005","University of California"
"6355","2004-2005","Utah"
"6356","2004-2005","Utah State"
"6357","2004-2005","Valparaiso"
"6358","2004-2005","Vanderbilt"
"6359","2004-2005","Vermont"
"6360","2004-2005","Villanova"
"6361","2004-2005","Virginia"
"6362","2004-2005","Virginia Commonwealth"
"6363","2004-2005","Virginia Tech"
"6364","2004-2005","VMI"
"6365","2004-2005","Wagner"
"6366","2004-2005","Wake Forest"
"6367","2004-2005","Washington"
"6368","2004-2005","Washington State"
"6369","2004-2005","Weber State"
"6370","2004-2005","West Virginia"
"6371","2004-2005","Western Carolina"
"6372","2004-2005","Western Illinois"
"6373","2004-2005","Western Kentucky"
"6374","2004-2005","Western Michigan"
"6375","2004-2005","Wichita State"
"6376","2004-2005","William & Mary"
"6377","2004-2005","Winthrop"
"6378","2004-2005","Wisconsin"
"6379","2004-2005","Wofford"
"6380","2004-2005","Wright State"
"6381","2004-2005","Wyoming"
"6382","2004-2005","Xavier"
"6383","2004-2005","Yale"
"6384","2004-2005","Youngstown State"
"6385","2005-2006","Air Force"
"6386","2005-2006","Akron"
"6387","2005-2006","Alabama"
"6388","2005-2006","Alabama-Birmingham"
"6389","2005-2006","Alabama A&M"
"6390","2005-2006","Alabama State"
"6391","2005-2006","Albany (NY)"
"6392","2005-2006","Alcorn State"
"6393","2005-2006","American"
"6394","2005-2006","Appalachian State"
"6395","2005-2006","Arizona"
"6396","2005-2006","Arizona State"
"6397","2005-2006","Arkansas"
"6398","2005-2006","Arkansas-Pine Bluff"
"6399","2005-2006","Arkansas State"
"6400","2005-2006","Army"
"6401","2005-2006","Auburn"
"6402","2005-2006","Austin Peay"
"6403","2005-2006","Ball State"
"6404","2005-2006","Baylor"
"6405","2005-2006","Belmont"
"6406","2005-2006","Bethune-Cookman"
"6407","2005-2006","Binghamton"
"6408","2005-2006","Birmingham-Southern"
"6409","2005-2006","Boise State"
"6410","2005-2006","Boston College"
"6411","2005-2006","Boston University"
"6412","2005-2006","Bowling Green State"
"6413","2005-2006","Bradley"
"6414","2005-2006","Brigham Young"
"6415","2005-2006","Brown"
"6416","2005-2006","Bucknell"
"6417","2005-2006","Buffalo"
"6418","2005-2006","Butler"
"6419","2005-2006","Cal Poly"
"6420","2005-2006","Cal State Fullerton"
"6421","2005-2006","Cal State Northridge"
"6422","2005-2006","Campbell"
"6423","2005-2006","Canisius"
"6424","2005-2006","Centenary (LA)"
"6425","2005-2006","Central Connecticut State"
"6426","2005-2006","Central Florida"
"6427","2005-2006","Central Michigan"
"6428","2005-2006","Charleston Southern"
"6429","2005-2006","Charlotte"
"6430","2005-2006","Chattanooga"
"6431","2005-2006","Chicago State"
"6432","2005-2006","Cincinnati"
"6433","2005-2006","Citadel"
"6434","2005-2006","Clemson"
"6435","2005-2006","Cleveland State"
"6436","2005-2006","Coastal Carolina"
"6437","2005-2006","Colgate"
"6438","2005-2006","College of Charleston"
"6439","2005-2006","Colorado"
"6440","2005-2006","Colorado State"
"6441","2005-2006","Columbia"
"6442","2005-2006","Connecticut"
"6443","2005-2006","Coppin State"
"6444","2005-2006","Cornell"
"6445","2005-2006","Creighton"
"6446","2005-2006","Dartmouth"
"6447","2005-2006","Davidson"
"6448","2005-2006","Dayton"
"6449","2005-2006","Delaware"
"6450","2005-2006","Delaware State"
"6451","2005-2006","Denver"
"6452","2005-2006","DePaul"
"6453","2005-2006","Detroit Mercy"
"6454","2005-2006","Drake"
"6455","2005-2006","Drexel"
"6456","2005-2006","Duke"
"6457","2005-2006","Duquesne"
"6458","2005-2006","East Carolina"
"6459","2005-2006","East Tennessee State"
"6460","2005-2006","Eastern Illinois"
"6461","2005-2006","Eastern Kentucky"
"6462","2005-2006","Eastern Michigan"
"6463","2005-2006","Eastern Washington"
"6464","2005-2006","Elon"
"6465","2005-2006","Evansville"
"6466","2005-2006","Fairfield"
"6467","2005-2006","Fairleigh Dickinson"
"6468","2005-2006","Florida"
"6469","2005-2006","Florida A&M"
"6470","2005-2006","Florida Atlantic"
"6471","2005-2006","Florida International"
"6472","2005-2006","Florida State"
"6473","2005-2006","Fordham"
"6474","2005-2006","Fresno State"
"6475","2005-2006","Furman"
"6476","2005-2006","Gardner-Webb"
"6477","2005-2006","George Mason"
"6478","2005-2006","George Washington"
"6479","2005-2006","Georgetown"
"6480","2005-2006","Georgia"
"6481","2005-2006","Georgia Southern"
"6482","2005-2006","Georgia State"
"6483","2005-2006","Georgia Tech"
"6484","2005-2006","Gonzaga"
"6485","2005-2006","Grambling"
"6486","2005-2006","Green Bay"
"6487","2005-2006","Hampton"
"6488","2005-2006","Hartford"
"6489","2005-2006","Harvard"
"6490","2005-2006","Hawaii"
"6491","2005-2006","High Point"
"6492","2005-2006","Hofstra"
"6493","2005-2006","Holy Cross"
"6494","2005-2006","Houston"
"6495","2005-2006","Howard"
"6496","2005-2006","Idaho"
"6497","2005-2006","Idaho State"
"6498","2005-2006","Illinois"
"6499","2005-2006","Illinois-Chicago"
"6500","2005-2006","Illinois State"
"6501","2005-2006","Indiana"
"6502","2005-2006","Indiana State"
"6503","2005-2006","Iona"
"6504","2005-2006","Iowa"
"6505","2005-2006","Iowa State"
"6506","2005-2006","IUPUI"
"6507","2005-2006","Jackson State"
"6508","2005-2006","Jacksonville"
"6509","2005-2006","Jacksonville State"
"6510","2005-2006","James Madison"
"6511","2005-2006","Kansas"
"6512","2005-2006","Kansas State"
"6513","2005-2006","Kent State"
"6514","2005-2006","Kentucky"
"6515","2005-2006","La Salle"
"6516","2005-2006","Lafayette"
"6517","2005-2006","Lamar"
"6518","2005-2006","Lehigh"
"6519","2005-2006","Liberty"
"6520","2005-2006","Lipscomb"
"6521","2005-2006","Little Rock"
"6522","2005-2006","Long Beach State"
"6523","2005-2006","Long Island University"
"6524","2005-2006","Louisiana"
"6525","2005-2006","Louisiana-Monroe"
"6526","2005-2006","Louisiana State"
"6527","2005-2006","Louisiana Tech"
"6528","2005-2006","Louisville"
"6529","2005-2006","Loyola (IL)"
"6530","2005-2006","Loyola (MD)"
"6531","2005-2006","Loyola Marymount"
"6532","2005-2006","Maine"
"6533","2005-2006","Manhattan"
"6534","2005-2006","Marist"
"6535","2005-2006","Marquette"
"6536","2005-2006","Marshall"
"6537","2005-2006","Maryland"
"6538","2005-2006","Maryland-Baltimore County"
"6539","2005-2006","Maryland-Eastern Shore"
"6540","2005-2006","Massachusetts"
"6541","2005-2006","McNeese State"
"6542","2005-2006","Memphis"
"6543","2005-2006","Mercer"
"6544","2005-2006","Miami (FL)"
"6545","2005-2006","Miami (OH)"
"6546","2005-2006","Michigan"
"6547","2005-2006","Michigan State"
"6548","2005-2006","Middle Tennessee"
"6549","2005-2006","Milwaukee"
"6550","2005-2006","Minnesota"
"6551","2005-2006","Mississippi"
"6552","2005-2006","Mississippi State"
"6553","2005-2006","Mississippi Valley State"
"6554","2005-2006","Missouri"
"6555","2005-2006","Missouri-Kansas City"
"6556","2005-2006","Missouri State"
"6557","2005-2006","Monmouth"
"6558","2005-2006","Montana"
"6559","2005-2006","Montana State"
"6560","2005-2006","Morehead State"
"6561","2005-2006","Morgan State"
"6562","2005-2006","Mount St. Mary's"
"6563","2005-2006","Murray State"
"6564","2005-2006","Navy"
"6565","2005-2006","Nebraska"
"6566","2005-2006","Nevada"
"6567","2005-2006","Nevada-Las Vegas"
"6568","2005-2006","New Hampshire"
"6569","2005-2006","New Mexico"
"6570","2005-2006","New Mexico State"
"6571","2005-2006","New Orleans"
"6572","2005-2006","Niagara"
"6573","2005-2006","Nicholls State"
"6574","2005-2006","Norfolk State"
"6575","2005-2006","North Carolina"
"6576","2005-2006","North Carolina-Asheville"
"6577","2005-2006","North Carolina-Greensboro"
"6578","2005-2006","North Carolina-Wilmington"
"6579","2005-2006","North Carolina A&T"
"6580","2005-2006","North Carolina State"
"6581","2005-2006","North Texas"
"6582","2005-2006","Northeastern"
"6583","2005-2006","Northern Arizona"
"6584","2005-2006","Northern Illinois"
"6585","2005-2006","Northern Iowa"
"6586","2005-2006","Northwestern"
"6587","2005-2006","Northwestern State"
"6588","2005-2006","Notre Dame"
"6589","2005-2006","Oakland"
"6590","2005-2006","Ohio"
"6591","2005-2006","Ohio State"
"6592","2005-2006","Oklahoma"
"6593","2005-2006","Oklahoma State"
"6594","2005-2006","Old Dominion"
"6595","2005-2006","Oral Roberts"
"6596","2005-2006","Oregon"
"6597","2005-2006","Oregon State"
"6598","2005-2006","Pacific"
"6599","2005-2006","Penn State"
"6600","2005-2006","Pennsylvania"
"6601","2005-2006","Pepperdine"
"6602","2005-2006","Pittsburgh"
"6603","2005-2006","Portland"
"6604","2005-2006","Portland State"
"6605","2005-2006","Prairie View"
"6606","2005-2006","Princeton"
"6607","2005-2006","Providence"
"6608","2005-2006","Purdue"
"6609","2005-2006","Purdue-Fort Wayne"
"6610","2005-2006","Quinnipiac"
"6611","2005-2006","Radford"
"6612","2005-2006","Rhode Island"
"6613","2005-2006","Rice"
"6614","2005-2006","Richmond"
"6615","2005-2006","Rider"
"6616","2005-2006","Robert Morris"
"6617","2005-2006","Rutgers"
"6618","2005-2006","Sacramento State"
"6619","2005-2006","Sacred Heart"
"6620","2005-2006","Saint Francis (PA)"
"6621","2005-2006","Saint Joseph's"
"6622","2005-2006","Saint Louis"
"6623","2005-2006","Saint Mary's (CA)"
"6624","2005-2006","Saint Peter's"
"6625","2005-2006","Sam Houston State"
"6626","2005-2006","Samford"
"6627","2005-2006","San Diego"
"6628","2005-2006","San Diego State"
"6629","2005-2006","San Francisco"
"6630","2005-2006","San Jose State"
"6631","2005-2006","Santa Clara"
"6632","2005-2006","Savannah State"
"6633","2005-2006","Seton Hall"
"6634","2005-2006","Siena"
"6635","2005-2006","South Alabama"
"6636","2005-2006","South Carolina"
"6637","2005-2006","South Carolina State"
"6638","2005-2006","South Florida"
"6639","2005-2006","Southeast Missouri State"
"6640","2005-2006","Southeastern Louisiana"
"6641","2005-2006","Southern"
"6642","2005-2006","Southern California"
"6643","2005-2006","Southern Illinois"
"6644","2005-2006","Southern Methodist"
"6645","2005-2006","Southern Mississippi"
"6646","2005-2006","Southern Utah"
"6647","2005-2006","St. Bonaventure"
"6648","2005-2006","St. Francis (NY)"
"6649","2005-2006","St. John's (NY)"
"6650","2005-2006","Stanford"
"6651","2005-2006","Stephen F. Austin"
"6652","2005-2006","Stetson"
"6653","2005-2006","Stony Brook"
"6654","2005-2006","Syracuse"
"6655","2005-2006","Temple"
"6656","2005-2006","Tennessee"
"6657","2005-2006","Tennessee-Martin"
"6658","2005-2006","Tennessee State"
"6659","2005-2006","Tennessee Tech"
"6660","2005-2006","Texas"
"6661","2005-2006","Texas-Arlington"
"6662","2005-2006","Texas-El Paso"
"6663","2005-2006","Texas-Rio Grande Valley"
"6664","2005-2006","Texas-San Antonio"
"6665","2005-2006","Texas A&M"
"6666","2005-2006","Texas A&M-Corpus Christi"
"6667","2005-2006","Texas Christian"
"6668","2005-2006","Texas Southern"
"6669","2005-2006","Texas State"
"6670","2005-2006","Texas Tech"
"6671","2005-2006","Toledo"
"6672","2005-2006","Towson"
"6673","2005-2006","Troy"
"6674","2005-2006","Tulane"
"6675","2005-2006","Tulsa"
"6676","2005-2006","UC-Irvine"
"6677","2005-2006","UC-Riverside"
"6678","2005-2006","UC-Santa Barbara"
"6679","2005-2006","UCLA"
"6680","2005-2006","University of California"
"6681","2005-2006","Utah"
"6682","2005-2006","Utah State"
"6683","2005-2006","Valparaiso"
"6684","2005-2006","Vanderbilt"
"6685","2005-2006","Vermont"
"6686","2005-2006","Villanova"
"6687","2005-2006","Virginia"
"6688","2005-2006","Virginia Commonwealth"
"6689","2005-2006","Virginia Tech"
"6690","2005-2006","VMI"
"6691","2005-2006","Wagner"
"6692","2005-2006","Wake Forest"
"6693","2005-2006","Washington"
"6694","2005-2006","Washington State"
"6695","2005-2006","Weber State"
"6696","2005-2006","West Virginia"
"6697","2005-2006","Western Carolina"
"6698","2005-2006","Western Illinois"
"6699","2005-2006","Western Kentucky"
"6700","2005-2006","Western Michigan"
"6701","2005-2006","Wichita State"
"6702","2005-2006","William & Mary"
"6703","2005-2006","Winthrop"
"6704","2005-2006","Wisconsin"
"6705","2005-2006","Wofford"
"6706","2005-2006","Wright State"
"6707","2005-2006","Wyoming"
"6708","2005-2006","Xavier"
"6709","2005-2006","Yale"
"6710","2005-2006","Youngstown State"
"6711","2006-2007","Air Force"
"6712","2006-2007","Akron"
"6713","2006-2007","Alabama"
"6714","2006-2007","Alabama-Birmingham"
"6715","2006-2007","Alabama A&M"
"6716","2006-2007","Alabama State"
"6717","2006-2007","Albany (NY)"
"6718","2006-2007","Alcorn State"
"6719","2006-2007","American"
"6720","2006-2007","Appalachian State"
"6721","2006-2007","Arizona"
"6722","2006-2007","Arizona State"
"6723","2006-2007","Arkansas"
"6724","2006-2007","Arkansas-Pine Bluff"
"6725","2006-2007","Arkansas State"
"6726","2006-2007","Army"
"6727","2006-2007","Auburn"
"6728","2006-2007","Austin Peay"
"6729","2006-2007","Ball State"
"6730","2006-2007","Baylor"
"6731","2006-2007","Belmont"
"6732","2006-2007","Bethune-Cookman"
"6733","2006-2007","Binghamton"
"6734","2006-2007","Boise State"
"6735","2006-2007","Boston College"
"6736","2006-2007","Boston University"
"6737","2006-2007","Bowling Green State"
"6738","2006-2007","Bradley"
"6739","2006-2007","Brigham Young"
"6740","2006-2007","Brown"
"6741","2006-2007","Bucknell"
"6742","2006-2007","Buffalo"
"6743","2006-2007","Butler"
"6744","2006-2007","Cal Poly"
"6745","2006-2007","Cal State Fullerton"
"6746","2006-2007","Cal State Northridge"
"6747","2006-2007","Campbell"
"6748","2006-2007","Canisius"
"6749","2006-2007","Centenary (LA)"
"6750","2006-2007","Central Connecticut State"
"6751","2006-2007","Central Florida"
"6752","2006-2007","Central Michigan"
"6753","2006-2007","Charleston Southern"
"6754","2006-2007","Charlotte"
"6755","2006-2007","Chattanooga"
"6756","2006-2007","Chicago State"
"6757","2006-2007","Cincinnati"
"6758","2006-2007","Citadel"
"6759","2006-2007","Clemson"
"6760","2006-2007","Cleveland State"
"6761","2006-2007","Coastal Carolina"
"6762","2006-2007","Colgate"
"6763","2006-2007","College of Charleston"
"6764","2006-2007","Colorado"
"6765","2006-2007","Colorado State"
"6766","2006-2007","Columbia"
"6767","2006-2007","Connecticut"
"6768","2006-2007","Coppin State"
"6769","2006-2007","Cornell"
"6770","2006-2007","Creighton"
"6771","2006-2007","Dartmouth"
"6772","2006-2007","Davidson"
"6773","2006-2007","Dayton"
"6774","2006-2007","Delaware"
"6775","2006-2007","Delaware State"
"6776","2006-2007","Denver"
"6777","2006-2007","DePaul"
"6778","2006-2007","Detroit Mercy"
"6779","2006-2007","Drake"
"6780","2006-2007","Drexel"
"6781","2006-2007","Duke"
"6782","2006-2007","Duquesne"
"6783","2006-2007","East Carolina"
"6784","2006-2007","East Tennessee State"
"6785","2006-2007","Eastern Illinois"
"6786","2006-2007","Eastern Kentucky"
"6787","2006-2007","Eastern Michigan"
"6788","2006-2007","Eastern Washington"
"6789","2006-2007","Elon"
"6790","2006-2007","Evansville"
"6791","2006-2007","Fairfield"
"6792","2006-2007","Fairleigh Dickinson"
"6793","2006-2007","Florida"
"6794","2006-2007","Florida A&M"
"6795","2006-2007","Florida Atlantic"
"6796","2006-2007","Florida International"
"6797","2006-2007","Florida State"
"6798","2006-2007","Fordham"
"6799","2006-2007","Fort Wayne"
"6800","2006-2007","Fresno State"
"6801","2006-2007","Furman"
"6802","2006-2007","Gardner-Webb"
"6803","2006-2007","George Mason"
"6804","2006-2007","George Washington"
"6805","2006-2007","Georgetown"
"6806","2006-2007","Georgia"
"6807","2006-2007","Georgia Southern"
"6808","2006-2007","Georgia State"
"6809","2006-2007","Georgia Tech"
"6810","2006-2007","Gonzaga"
"6811","2006-2007","Grambling"
"6812","2006-2007","Green Bay"
"6813","2006-2007","Hampton"
"6814","2006-2007","Hartford"
"6815","2006-2007","Harvard"
"6816","2006-2007","Hawaii"
"6817","2006-2007","High Point"
"6818","2006-2007","Hofstra"
"6819","2006-2007","Holy Cross"
"6820","2006-2007","Houston"
"6821","2006-2007","Howard"
"6822","2006-2007","Idaho"
"6823","2006-2007","Idaho State"
"6824","2006-2007","Illinois"
"6825","2006-2007","Illinois-Chicago"
"6826","2006-2007","Illinois State"
"6827","2006-2007","Indiana"
"6828","2006-2007","Indiana State"
"6829","2006-2007","Iona"
"6830","2006-2007","Iowa"
"6831","2006-2007","Iowa State"
"6832","2006-2007","IUPUI"
"6833","2006-2007","Jackson State"
"6834","2006-2007","Jacksonville"
"6835","2006-2007","Jacksonville State"
"6836","2006-2007","James Madison"
"6837","2006-2007","Kansas"
"6838","2006-2007","Kansas State"
"6839","2006-2007","Kent State"
"6840","2006-2007","Kentucky"
"6841","2006-2007","La Salle"
"6842","2006-2007","Lafayette"
"6843","2006-2007","Lamar"
"6844","2006-2007","Lehigh"
"6845","2006-2007","Liberty"
"6846","2006-2007","Lipscomb"
"6847","2006-2007","Little Rock"
"6848","2006-2007","Long Beach State"
"6849","2006-2007","Long Island University"
"6850","2006-2007","Louisiana"
"6851","2006-2007","Louisiana-Monroe"
"6852","2006-2007","Louisiana State"
"6853","2006-2007","Louisiana Tech"
"6854","2006-2007","Louisville"
"6855","2006-2007","Loyola (IL)"
"6856","2006-2007","Loyola (MD)"
"6857","2006-2007","Loyola Marymount"
"6858","2006-2007","Maine"
"6859","2006-2007","Manhattan"
"6860","2006-2007","Marist"
"6861","2006-2007","Marquette"
"6862","2006-2007","Marshall"
"6863","2006-2007","Maryland"
"6864","2006-2007","Maryland-Baltimore County"
"6865","2006-2007","Maryland-Eastern Shore"
"6866","2006-2007","Massachusetts"
"6867","2006-2007","McNeese State"
"6868","2006-2007","Memphis"
"6869","2006-2007","Mercer"
"6870","2006-2007","Miami (FL)"
"6871","2006-2007","Miami (OH)"
"6872","2006-2007","Michigan"
"6873","2006-2007","Michigan State"
"6874","2006-2007","Middle Tennessee"
"6875","2006-2007","Milwaukee"
"6876","2006-2007","Minnesota"
"6877","2006-2007","Mississippi"
"6878","2006-2007","Mississippi State"
"6879","2006-2007","Mississippi Valley State"
"6880","2006-2007","Missouri"
"6881","2006-2007","Missouri-Kansas City"
"6882","2006-2007","Missouri State"
"6883","2006-2007","Monmouth"
"6884","2006-2007","Montana"
"6885","2006-2007","Montana State"
"6886","2006-2007","Morehead State"
"6887","2006-2007","Morgan State"
"6888","2006-2007","Mount St. Mary's"
"6889","2006-2007","Murray State"
"6890","2006-2007","Navy"
"6891","2006-2007","Nebraska"
"6892","2006-2007","Nevada"
"6893","2006-2007","Nevada-Las Vegas"
"6894","2006-2007","New Hampshire"
"6895","2006-2007","New Mexico"
"6896","2006-2007","New Mexico State"
"6897","2006-2007","New Orleans"
"6898","2006-2007","Niagara"
"6899","2006-2007","Nicholls State"
"6900","2006-2007","Norfolk State"
"6901","2006-2007","North Carolina"
"6902","2006-2007","North Carolina-Asheville"
"6903","2006-2007","North Carolina-Greensboro"
"6904","2006-2007","North Carolina-Wilmington"
"6905","2006-2007","North Carolina A&T"
"6906","2006-2007","North Carolina State"
"6907","2006-2007","North Texas"
"6908","2006-2007","Northeastern"
"6909","2006-2007","Northern Arizona"
"6910","2006-2007","Northern Illinois"
"6911","2006-2007","Northern Iowa"
"6912","2006-2007","Northwestern"
"6913","2006-2007","Northwestern State"
"6914","2006-2007","Notre Dame"
"6915","2006-2007","Oakland"
"6916","2006-2007","Ohio"
"6917","2006-2007","Ohio State"
"6918","2006-2007","Oklahoma"
"6919","2006-2007","Oklahoma State"
"6920","2006-2007","Old Dominion"
"6921","2006-2007","Oral Roberts"
"6922","2006-2007","Oregon"
"6923","2006-2007","Oregon State"
"6924","2006-2007","Pacific"
"6925","2006-2007","Penn State"
"6926","2006-2007","Pennsylvania"
"6927","2006-2007","Pepperdine"
"6928","2006-2007","Pittsburgh"
"6929","2006-2007","Portland"
"6930","2006-2007","Portland State"
"6931","2006-2007","Prairie View"
"6932","2006-2007","Princeton"
"6933","2006-2007","Providence"
"6934","2006-2007","Purdue"
"6935","2006-2007","Quinnipiac"
"6936","2006-2007","Radford"
"6937","2006-2007","Rhode Island"
"6938","2006-2007","Rice"
"6939","2006-2007","Richmond"
"6940","2006-2007","Rider"
"6941","2006-2007","Robert Morris"
"6942","2006-2007","Rutgers"
"6943","2006-2007","Sacramento State"
"6944","2006-2007","Sacred Heart"
"6945","2006-2007","Saint Francis (PA)"
"6946","2006-2007","Saint Joseph's"
"6947","2006-2007","Saint Louis"
"6948","2006-2007","Saint Mary's (CA)"
"6949","2006-2007","Saint Peter's"
"6950","2006-2007","Sam Houston State"
"6951","2006-2007","Samford"
"6952","2006-2007","San Diego"
"6953","2006-2007","San Diego State"
"6954","2006-2007","San Francisco"
"6955","2006-2007","San Jose State"
"6956","2006-2007","Santa Clara"
"6957","2006-2007","Savannah State"
"6958","2006-2007","Seton Hall"
"6959","2006-2007","Siena"
"6960","2006-2007","South Alabama"
"6961","2006-2007","South Carolina"
"6962","2006-2007","South Carolina State"
"6963","2006-2007","South Florida"
"6964","2006-2007","Southeast Missouri State"
"6965","2006-2007","Southeastern Louisiana"
"6966","2006-2007","Southern"
"6967","2006-2007","Southern California"
"6968","2006-2007","Southern Illinois"
"6969","2006-2007","Southern Methodist"
"6970","2006-2007","Southern Mississippi"
"6971","2006-2007","Southern Utah"
"6972","2006-2007","St. Bonaventure"
"6973","2006-2007","St. Francis (NY)"
"6974","2006-2007","St. John's (NY)"
"6975","2006-2007","Stanford"
"6976","2006-2007","Stephen F. Austin"
"6977","2006-2007","Stetson"
"6978","2006-2007","Stony Brook"
"6979","2006-2007","Syracuse"
"6980","2006-2007","Temple"
"6981","2006-2007","Tennessee"
"6982","2006-2007","Tennessee-Martin"
"6983","2006-2007","Tennessee State"
"6984","2006-2007","Tennessee Tech"
"6985","2006-2007","Texas"
"6986","2006-2007","Texas-Arlington"
"6987","2006-2007","Texas-El Paso"
"6988","2006-2007","Texas-Rio Grande Valley"
"6989","2006-2007","Texas-San Antonio"
"6990","2006-2007","Texas A&M"
"6991","2006-2007","Texas A&M-Corpus Christi"
"6992","2006-2007","Texas Christian"
"6993","2006-2007","Texas Southern"
"6994","2006-2007","Texas State"
"6995","2006-2007","Texas Tech"
"6996","2006-2007","Toledo"
"6997","2006-2007","Towson"
"6998","2006-2007","Troy"
"6999","2006-2007","Tulane"
"7000","2006-2007","Tulsa"
"7001","2006-2007","UC-Irvine"
"7002","2006-2007","UC-Riverside"
"7003","2006-2007","UC-Santa Barbara"
"7004","2006-2007","UCLA"
"7005","2006-2007","University of California"
"7006","2006-2007","Utah"
"7007","2006-2007","Utah State"
"7008","2006-2007","Valparaiso"
"7009","2006-2007","Vanderbilt"
"7010","2006-2007","Vermont"
"7011","2006-2007","Villanova"
"7012","2006-2007","Virginia"
"7013","2006-2007","Virginia Commonwealth"
"7014","2006-2007","Virginia Tech"
"7015","2006-2007","VMI"
"7016","2006-2007","Wagner"
"7017","2006-2007","Wake Forest"
"7018","2006-2007","Washington"
"7019","2006-2007","Washington State"
"7020","2006-2007","Weber State"
"7021","2006-2007","West Virginia"
"7022","2006-2007","Western Carolina"
"7023","2006-2007","Western Illinois"
"7024","2006-2007","Western Kentucky"
"7025","2006-2007","Western Michigan"
"7026","2006-2007","Wichita State"
"7027","2006-2007","William & Mary"
"7028","2006-2007","Winthrop"
"7029","2006-2007","Wisconsin"
"7030","2006-2007","Wofford"
"7031","2006-2007","Wright State"
"7032","2006-2007","Wyoming"
"7033","2006-2007","Xavier"
"7034","2006-2007","Yale"
"7035","2006-2007","Youngstown State"
"7036","2007-2008","Air Force"
"7037","2007-2008","Akron"
"7038","2007-2008","Alabama"
"7039","2007-2008","Alabama-Birmingham"
"7040","2007-2008","Alabama A&M"
"7041","2007-2008","Alabama State"
"7042","2007-2008","Albany (NY)"
"7043","2007-2008","Alcorn State"
"7044","2007-2008","American"
"7045","2007-2008","Appalachian State"
"7046","2007-2008","Arizona"
"7047","2007-2008","Arizona State"
"7048","2007-2008","Arkansas"
"7049","2007-2008","Arkansas-Pine Bluff"
"7050","2007-2008","Arkansas State"
"7051","2007-2008","Army"
"7052","2007-2008","Auburn"
"7053","2007-2008","Austin Peay"
"7054","2007-2008","Ball State"
"7055","2007-2008","Baylor"
"7056","2007-2008","Belmont"
"7057","2007-2008","Bethune-Cookman"
"7058","2007-2008","Binghamton"
"7059","2007-2008","Boise State"
"7060","2007-2008","Boston College"
"7061","2007-2008","Boston University"
